# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
%s%s %s%s%c	%s%s %s%s%c
%s loses its grip on you.	%s pierde su agarre sobre ti.
%s touch %s.	%s toca a %s.
shrink out of your %s!	¡te encoges de tu %s!
drop your gloves%s!	¡se te caen los guantes%s!
find you must %s %s %s!	¡descubres que debes %s %s %s!
and %s return gently to the %s.	y %s vuelve suavemente al %s.
web over the %s.	telarana sobre el %s.
Webbing over trap type %d?	¿Telarana sobre tipo de trampa %d?
gaze attack %d?	¿ataque de mirada %d?
%s seems not to notice your gaze.	%s parece no notar tu mirada.
attack %s with a fiery gaze!	¡ataca a %s con una mirada ardiente!
stiffen momentarily under %s gaze.	se queda rigido un momento bajo la mirada de %s.
Gazing at the awake %s is not a very good idea.	Mirar al despierto %s no es una muy buena idea.
concentrate but lack the energy to maintain doing so.	se concentra pero le falta energia para mantenerlo.
lock in on %s %s.	se fija en %s %s.
safe_typename: %s	safe_typename: %s
xname_flags: %s	xname_flags: %s
Room floor.	Suelo de sala.
%s %s the drawbridge.	%s %s el puente levadizo.
safe_qbuf: prefix too long (%u characters).	safe_qbuf: prefijo demasiado largo (%u caracteres).
safe_qbuf: suffix too long (%u + %u characters).	safe_qbuf: sufijo demasiado largo (%u + %u caracteres).
safe_qbuf: filler too long (%u + %u + %u characters).	safe_qbuf: relleno demasiado largo (%u + %u + %u caracteres).
guess %s to be %s %s.	adivina que %s es %s %s.
get_count: cmdcount_nht	get_count: cmdcount_nht
This %s creature is called %s and cannot be renamed.	Este %s criatura se llama %s y no puede renombrarse.
%s doesn't like being called names!	¡a %s no le gusta que le llamen cosas!
engrave: "%s".	graba: "%s".
%s %s can't be assigned a type name.	%s %s no puede asignarsele un nombre de tipo.
obj_pmname otyp:%i,corpsenm:%i	obj_pmname otyp:%i,corpsenm:%i
%s throws back %s head and lets out a blood curdling %s!	¡%s echa atras su cabeza %s y deja escapar un %s que hiela la sangre!
%s boasts about %s gem collection.	%s presume de su coleccion de gemas %s.
They won't hear you %s there.	No te oiran %s ahi.
%s doesn't notice.	%s no se da cuenta.
That %screature is ignoring you!	¡Esa %scriatura te esta ignorando!
%s grasps %s %s but can't remove it.	%s agarra %s %s pero no puede quitarselo.
%s tips %s %s in response.	%s inclina su %s %s en respuesta.
%s %s%s%s at you...	%s %s%s%s hacia ti...
%s doesn't respond.	%s no responde.
%s shirt is obscured by %s%s.	la camisa de %s esta oscurecida por %s%s.
%s features %s.	%s muestra %s.
%s on the %s.  It reads:  %s.	%s en el %s.  Dice:  %s.
"%s"	"%s"
"%d0%d %ld%d1 0%d%d0"%s	"%d0%d %ld%d1 0%d%d0"%s
"Magic Marker(TM) %s Red Ink Marker Pen.  Water Soluble."	"Magic Marker(TM) %s Rotulador de Tinta Roja.  Soluble en agua."
"1 Zorkmid.  857 GUE.  In Frobs We Trust."	"1 Zorkmid.  857 GUE.  En los Frobs Confiamos."
"Odin."	"Odin."
%s briefly.	%s brevemente.
%s%s%s for a moment.	%s%s%s por un momento.
%s feebly%s%s for a moment.	%s debilmente%s%s por un momento.
%s momentarily, then %s!	¡%s momentaneamente, luego %s!
%s spins %sclockwise for a moment.	%s gira %sen sentido horario por un momento.
%s out!	¡%s fuera!
%s warm for a moment.	%s calido por un momento.
%s covered by a %s %s %s!	¡%s cubierto por un %s %s %s!
%s violently %s%s%s for a while, then %s.	%s violentamente %s%s%s por un rato, luego %s.
%s merges and hardens!	¡%s se fusiona y endurece!
%s %s%s%s%s for a %s.	%s %s%s%s%s por un %s.
This is %s!	¡Esto es %s!
Oh, look, what a pretty fire in your %s.	Oh, mira, que fuego tan bonito en tu %s.
%s of boulders %s %s you!	¡%s de rocas %s %s te!
something hit %s %s over your %s!	¡algo golpeo a %s %s sobre tu %s!
%s's %s does not protect %s.	%s %s de %s no protege a %s.
%s %s explodes!	¡%s %s explota!
%s %s is lit.	%s %s esta encendido.
Eliminated %d monster%s.	Eliminado %d monstruo%s.
%s are already nonexistent.	%s ya no existen.
Sent in %s%s.	Enviado en %s%s.
%s a whiff of rotten eggs.	%s un olor a huevos podridos.
It's %s of "%s"!	¡Es %s de "%s"!
It seems to be %s of "%s"!	¡Parece ser %s de "%s"!
should_query_disclose_option: bad disclosure index %d %c	should_query_disclose_option: indice de divulgacion incorrecto %d %c
should_query_disclose_option: bad category %c	should_query_disclose_option: categoria incorrecta %c
%s releases you.	%s te suelta.
Unfortunately you are still genocided...	Desafortunadamente sigues genocidado...
dealloc_killer (#%d) not on list	dealloc_killer (#%d) no en la lista
stuff yourself and then vomit voluminously.	te atiborras y luego vomitas abundantemente.
%s brain is unharmed.	el cerebro de %s esta ileso.
eat %s brain!	¡come el cerebro de %s!
%s brain is eaten!	¡el cerebro de %s es comido!
%s turns to stone!	¡%s se convierte en piedra!
Unfortunately your brain is still gone.	Desafortunadamente tu cerebro aun ha desaparecido.
%s last thought fades away...	el ultimo pensamiento de %s se desvanece...
cannibal!  You will regret this!	¡canibal!  ¡Te arrepentiras!
Eating that is instantly fatal.	Comer eso es instantaneamente fatal.
be chillin'.	estas tranquilo.
discard the open tin.	desecha la lata abierta.
consume %s %s.	consume %s %s.
Eating %s food made your %s %s slippery.	Comer la comida de %s hizo tu %s %s resbaladizo.
This makes you feel like %s!	¡Esto te hace sentir como %s!
give up your attempt to open the tin.	abandona tu intento de abrir la lata.
Using %s you try to open the tin.	Usando %s intentas abrir la lata.
Blecch!  %s %s!	¡Blecch!  ¡%s %s!
Ulch - that %s was tainted%s!	¡Ulch - ese %s estaba contaminado%s!
(It must have died too long ago to be safe to eat.)	(Debe haber muerto hace demasiado tiempo para ser seguro comerlo.)
Ecch - that must have been poisonous!	¡Ecch - eso debio haber sido venenoso!
seem unaffected by the poison.	pareces no afectado por el veneno.
This tastes just like chicken!	¡Esto sabe justo como pollo!
peck the eyeball with delight.	picotea el ojo con deleite.
%s%s %s %s%c	%s%s %s %s%c
This satiates your %s!	¡Esto sacia tu %s!
My, this is a %s %s!	¡Vaya, esto es un %s %s!
%s -- core dumped.	%s -- nucleo volcado.
This %s is %s	Este %s esta %s
Magic spreads through your body as you digest the %s.	La magia se extiende por tu cuerpo mientras digieres el %s.
sinister laughter as you fall asleep...	risa siniestra mientras te duermes...
%s%s is delicious!	¡%s%s esta delicioso!
pause to swallow.	hace una pausa para tragar.
Ulch - that %s was rustproofed!	¡Ulch - ese %s estaba a prueba de oxido!
spit out %s.	escupir %s.
spit %s out onto the %s.	escupir %s sobre el %s.
%s your meal.	%s tu comida.
faint from lack of food.	desmayas por falta de comida.
%s needs food, badly!	¡%s necesita comida, urgentemente!
%s but you %s eat them.	%s pero tu %s comerlos.
partly eaten food (%ld) more nutritious than untouched food (%ld)	comida parcialmente comida (%ld) mas nutritiva que comida intacta (%ld)
notice %s, swaying with the music.	notas %s, balanceandose con la musica.
%s freezes, then sways with the music%s.	%s se congela, luego se balancea con la musica%s.
%s listens cheerfully to the music, then seems quieter.	%s escucha alegremente la musica, luego parece mas callado.
%s the rattle of battle gear being readied.	%s el repiqueteo de equipo de batalla siendo preparado.
KADOOM!  The boulder falls into a chasm%s!	¡KADOOM!  ¡La roca cae en un abismo%s!
%s falls into a chasm!	¡%s cae en un abismo!
destroy %s!	¡destruye %s!
fall into a chasm!	¡cae en un abismo!
disseminate a kaleidoscopic display of floating butterflies.	emite un despliegue caleidoscopico de mariposas flotantes.
%sproduce %s%s music.	%sproduce musica %s%s.
produce a frightful, grave%s sound.	produce un sonido %s aterrador y grave.
extract a loud%s noise from %s.	extrae un ruido %s fuerte de %s.
%s very attractive%s music.	%s musica %s muy atractiva.
produce a heavy, thunderous rolling!	¡produce un rodar pesado y tronitronante!
beat a %sdeafening row!	¡toca una fila %s ensordecedora!
extract a strange sound from %s!	¡extrae un sonido extrano de %s!
%d tumbler%s click and %d gear%s turn.	%d tumblers%s hacen clic y %d engranaje%s gira.
%d tumbler%s click.	%d tumbler%s hace clic.
%d gear%s turn.	%d engranaje%s gira.
%s %s %s not affected by %s.	%s %s %s no afectado por %s.
Somehow, %s %s %s not affected by the %s.	De algun modo, %s %s %s no afectado por el %s.
%s %s %s%s!	¡%s %s %s%s!
%s %s %s!	¡%s %s %s!
erode_obj(%d): destroying strangely worn item [%d, 0x%08lx: %s]	erode_obj(%d): destruyendo objeto llevado extranamente [%d, 0x%08lx: %s]
%s %s %s completely %s.	%s %s %s completamente %s.
%s's %s %s %s	%s %s de %s %s
making fixed-dest tele trap pointing to itself	creando trampa de tele de destino fijo apuntando a si misma
%s down %s!	¡%s abajo %s!
%s down a %s%sshaft!	¡%s abajo por un pozo %s%s!
Instead of shattering, %s suddenly %s!	¡En vez de hacerse pedazos, %s de repente %s!
find %s posing as a statue.	encuentras %s haciendose pasar por una estatua.
%s %s spider web!	¡%s %s telarana!
flow through %s spider web.	fluye a traves de %s telarana.
m_harmless_trap: unknown trap %i	m_harmless_trap: trampa desconocida %i
notice a crease in the linoleum.	notas una arruga en el linoleo.
notice a loose board below you.	notas una tabla suelta bajo ti.
%s squeak %s.	%s chirria %s.
%s bear trap closes harmlessly through you.	%s trampa para osos se cierra inocuamente a traves de ti.
%s bear trap closes harmlessly over you.	%s trampa para osos se cierra inocuamente sobre ti.
%s bear trap closes on %s %s!	¡%s trampa para osos se cierra sobre %s %s!
%s bear trap closes on your %s!	¡%s trampa para osos se cierra sobre tu %s!
howl in anger!	¡aulla de rabia!
%s protects your leg.	%s protege tu pierna.
%s you on the %s!	¡%s te en el %s!
%s your left %s!	¡%s tu %s izquierdo!
%s your right %s!	¡%s tu %s derecho!
%s %spit below you.	%s %sfoso bajo ti.
%s pit %sopens up under you!	¡%s foso %sse abre bajo ti!
carefully %s into the pit.	cuidadosamente %s en el foso.
move into an adjacent pit.	se mueve a un foso adyacente.
stumble over debris%s.	tropieza con escombros%s.
%s into %s pit!	¡%s en %s foso!
%s protects you from the sharp iron spikes.	%s te protege de los agudos pinchos de hierro.
dotrap: %ss cannot exist on this level.	dotrap: %ss no pueden existir en este nivel.
mintrap: %ss cannot exist on this level.	mintrap: %ss no pueden existir en este nivel.
tear through %s web!	¡desgarra la telarana de %s!
%s a polymorph trap!	¡%s una trampa de polimorfismo!
re-equipping iron shoes destroyed them?	¿reequipando zapatos de hierro los destruyo?
%s %s in a pile of soil below you.	%s %s en un monton de tierra bajo ti.
KAABLAMM!!!  %s %s%s off!	¡KAABLAMM!!!  ¡%s %s%s fuera!
Kaablamm!  %s an explosion in the distance!	¡Kaablamm!  ¡%s una explosion en la distancia!
%sYou trigger a rolling boulder trap!	¡%sActivas una trampa de roca rodante!
immune_to_trap: bad ttype %u	immune_to_trap: ttype incorrecto %u
%s encountered a strange trap of type %d.	%s encontro una trampa extrana de tipo %d.
%s over %s %s.	%s sobre %s %s.
escape %s %s.	escapa %s %s.
steed hit by non-existent arrow?	¿corcel golpeado por flecha inexistente?
steed hit by non-existent dart?	¿corcel golpeado por dardo inexistente?
%s start to roll.	%s empieza a rodar.
rumbling %s.	ruido sordo %s.
KAABLAMM!!!%s	¡KAABLAMM!!!%s
%s climbs %sout of the pit.	%s trepa %sfuera del foso.
%s pulls free of the %s.	%s se libera del %s.
%s touch the %s corpse.	%s toca el cadaver de %s.
feel lighter, but your %s is still chained to the %s.	te sientes mas ligero, pero tu %s sigue encadenado al %s.
float up slightly, but you are still stuck in the %s.	flotas ligeramente, pero sigues atascado en el %s.
float up slightly, but your %s is still stuck.	flotas ligeramente, pero tu %s sigue atascado.
spiral up into %s.	giras en espiral hacia arriba en %s.
start to float in the air!	¡empiezas a flotar en el aire!
float down, but you are still %s.	flotas hacia abajo, pero sigues %s.
Startled, %s can no longer hold you!	¡Asustado, %s ya no puede sujetarte!
settle more firmly in the saddle.	se asienta mas firmemente en la silla.
ascend from the %s.	asciende desde el %s.
%s from the %s.	%s del %s.
%s to the edge of the %s.	%s al borde del %s.
%s %s up!	¡%s %s arriba!
%s hit lava and burn up!	¡%s golpea lava y arde!
Some %s gets into your %s!	¡Algo de %s entra en tu %s!
%s %s of %s.	%s %s de %s.
%s in %s.	%s en %s.
%s on top of %s.	%s encima de %s.
%s into the %s%c	%s en el %s%c
%s remains entangled.	%s sigue enredado.
%s %s is difficult to %s.	%s %s es dificil de %s.
extract %s from %s %s.	extrae %s de %s %s.
disarm %s bear trap.	desactiva la trampa para osos %s.
%s %s through %s web!	¡%s %s a traves de la telarana de %s!
cut through %s web.	corta a traves de la telarana de %s.
succeed in removing %s web.	logras quitar la telarana de %s.
disarm %s land mine.	desactiva la mina terrestre %s.
repair the squeaky board.	repara la tabla chirriante.
disarm %s trap.	desactiva la trampa %s.
%s is %s for you to lift.	%s es %s para que lo levantes.
%s thinks it was nice of you to try.	%s piensa que fue amable de tu parte intentarlo.
%s isn't trapped.	%s no esta atrapado.
try to reach out your %s, but %s backs away skeptically.	intenta alcanzar tu %s, pero %s retrocede con escepticismo.
grab the trapped %s using your bare %s.	agarra el %s atrapado usando tu %s desnudo.
try to grab %s, but cannot get a firm grasp.	intenta agarrar %s, pero no puede conseguir un agarre firme.
reach out your %s and grab %s.	alcanza tu %s y agarra %s.
pull %s out of the pit.	saca %s del foso.
%s %s %s but you can't reach %s%s.	%s %s %s pero no puedes alcanzar %s%s.
%s released from %s%s.	%s liberado de %s%s.
%s%s opens.	%s%s se abre.
But luckily the %s!	¡Pero por suerte el %s!
%s%s...	%s%s...
KABOOM!!  %s was booby-trapped!	¡KABOOM!!  ¡%s estaba trampa-do!
lava_effects: '%s' (#%u) is already in use; so is #%u.	lava_effects: '%s' (#%u) ya esta en uso; al igual que #%u.
%s into flame!	¡%s en llama!
%s item%s in your inventory %s been destroyed.	%s objeto%s en tu inventario %s sido destruido.
sink into the %s%s!	¡hundes en el %s%s!
trap sanity: location (%i,%i)	cordura trampa: ubicacion (%i,%i)
trap sanity: type (%i)	cordura trampa: tipo (%i)
nh.callback counts are wrong	los recuentos de nh.callback son incorrectos
nhl_gamestate: inconsistent state (%s vs %s)	nhl_gamestate: estado inconsistente (%s vs %s)
(%s) line too long	(%s) linea demasiado larga
steps and perpcall both non-zero	pasos y perpcall ambos no cero
'%s' %s "%s: %s".	'%s' %s "%s: %s".
'%s' %s %u.	'%s' %s %u.
There is no underlying support for 'idlecheckpoint' compiled in.	No hay soporte subyacente para 'idlecheckpoint' compilado.
'%s' option toggled %s.	opcion '%s' conmutada %s.
'menustyle' %s "%s".	'menustyle' %s "%s".
'%s' %s '%s'.	'%s' %s '%s'.
'msg_window' %.20s "%.20s".	'msg_window' %.20s "%.20s".
'%s' option is not supported for '%s'.	opcion '%s' no esta soportada para '%s'.
'perminv_mode' %s '%s' (%s).	'perminv_mode' %s '%s' (%s).
Error adding the menu color.	Error añadiendo el color del menu.
Error adding the message type.	Error añadiendo el tipo de mensaje.
"%s" settable only from %s.	"%s" solo ajustable desde %s.
%s can be set only from NETHACKOPTIONS or %s.	%s solo puede ajustarse desde NETHACKOPTIONS o %s.
conflicting option init for %s: %s is %s, %s is %s	inicializacion de opcion conflictiva para %s: %s es %s, %s es %s
set_option_mod_status: status out of range %d.	set_option_mod_status: estado fuera de rango %d.
set_wc_option_mod_status: status out of range %d.	set_wc_option_mod_status: estado fuera de rango %d.
set_wc2_option_mod_status: status out of range %d.	set_wc2_option_mod_status: estado fuera de rango %d.
Suddenly one of the Vault's %s enters!	¡De repente uno de los %s de la Camara Acorazada entra!
%s mouths something and looks very angry!	¡%s murmura algo y parece muy enfadado!
Back from the dead, are you?  I'll remedy that!	¿Vuelves de entre los muertos?  ¡Lo remediare!
vault guard: no gold at hero's feet?	¿guardia de camara: sin oro a los pies del heroe?
see %s approaching.	ves a %s acercandose.
nhassert(%s) failed in file '%s' at line %d	nhassert(%s) fallo en el archivo '%s' en la linea %d
write_ls: can't find obj #%u!	write_ls: ¡no se puede encontrar obj #%u!
write_ls: can't find mon%s #%u!	write_ls: ¡no se puede encontrar mon%s #%u!
obj_adjust_light_radius: can't find %s	obj_adjust_light_radius: no se puede encontrar %s
%s%s %s to your %s%s!	¡%s%s %s a tu %s%s!
%s to shine %s!	¡%s para brillar %s!
%s says "You be careful with my %s!"	%s dice: "¡Ten cuidado con mi %s!"
%s aren't able to use two weapons at once.	%s no es capaz de usar dos armas a la vez.
%s %s suitable %s weapon%s.	%s %s arma %s adecuada%s.
%s isn't one-handed.	%s no es de una mano.
%s being held second to another weapon!	¡%s siendo sujetado segundo a otra arma!
%s from your %s!	¡%s de tu %s!
%s your grasp and %s from your %s!	¡%s tu agarre y %s de tu %s!
%s can't reach the %s.	%s no puede alcanzar el %s.
There's some graffiti on the %s here.	Hay graffiti en el %s aqui.
%s: "%s"%s	%s: "%s"%s
%s can't wipe out this engraving.	%s no puede borrar este grabado.
%s %sturns to dust.	%s %sse convierte en polvo.
%s the %s with %s%s.	%s el %s con %s%s.
%s the %s with your %s.	%s el %s con tu %s.
%s, then %s.	%s, luego %s.
Disturbing grave that isn't a grave? (%d)	¿Profanando tumba que no es una tumba? (%d)
%s %s, %s evading your %skick.	%s %s, %s evadiendo tu %sempate.
%s %scatches the gold.	%s %satrapa el oro.
owe %s %ld %s for objects destroyed.	debes %s %ld %s por objetos destruidos.
kick %s with your bare %s.	empate %s con tu %s desnudo.
%s %sn't come loose.	%s %sno se suelta.
%s %s loose.	%s %s suelto.
%s falls from the tree!	¡%s cae del arbol!
%ld %s got caught in the branches.	%ld %s quedaron atrapados en las ramas.
%s returns!	¡%s vuelve!
From the impact, %sother %s.	Por el impacto, %s otro %s.
%s adjacent %s %s.	%s %s %s adyacente.
owe %s %ld %s for goods lost.	debes %s %ld %s por productos perdidos.
append_str: 'buf' contains %lu characters.	append_str: 'buf' contiene %lu caracteres.
bad do_look buffer passed (%s)!	buffer do_look incorrecto pasado (%s)!
? Seek error on 'data' file!	? Error de busqueda en archivo 'data'!
'data' file in wrong format or corrupted	archivo 'data' en formato incorrecto o corrupto
That is a trapped %s.	Eso es un %s atrapado.
That is %s%s%s.	Eso es %s%s%s.
cmdhelp: unrecognized &%c conditional at line %d: "%.20s"	cmdhelp: condicional &%c no reconocida en linea %d: "%.20s"
cmdhelp: mismatched &? &: &. conditionals.	cmdhelp: condicionales &? &: &. no coinciden.
Ask about '&' or '?' to get more info.%s	Pregunta sobre '&' o '?' para mas informacion.%s
%s,	%s,
%8.8s%s	%8.8s%s

%s	
%s

%d error%s %s %s.
	
%d error%s %s %s.

